date,location,hits,keyword,geo,gprop
2019-05-01 2019-06-01,Nenets Autonomous Okrug,,навальный отравление,RU,web
2019-05-01 2019-06-01,Novgorod Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Nizhny Novgorod Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Novosibirsk Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Omsk Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Orenburg Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Oryol Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Perm Krai,,навальный отравление,RU,web
2019-05-01 2019-06-01,Penza Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Primorsky Krai,,навальный отравление,RU,web
2019-05-01 2019-06-01,Pskov Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Rostov Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Ryazan Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Sakha Republic,,навальный отравление,RU,web
2019-05-01 2019-06-01,Sakhalin Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Samara Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Saratov Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,North Ossetia–Alania,,навальный отравление,RU,web
2019-05-01 2019-06-01,Smolensk Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Saint Petersburg,,навальный отравление,RU,web
2019-05-01 2019-06-01,Stavropol Krai,,навальный отравление,RU,web
2019-05-01 2019-06-01,Sverdlovsk Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Tatarstan,,навальный отравление,RU,web
2019-05-01 2019-06-01,Tambov Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Tomsk Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Tula Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Tver Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Tuva,,навальный отравление,RU,web
2019-05-01 2019-06-01,Tyumen Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Udmurt Republic,,навальный отравление,RU,web
2019-05-01 2019-06-01,Ulyanovsk Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Volgograd Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Vladimir Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Vologda Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Voronezh Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Yamalo-Nenets Autonomous Okrug,,навальный отравление,RU,web
2019-05-01 2019-06-01,Yaroslavl Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Jewish Autonomous Oblast,,навальный отравление,RU,web
2019-05-01 2019-06-01,Zabaykalsky Krai,,навальный отравление,RU,web
2019-06-01 2019-07-01,Adygea,,навальный отравление,RU,web
2019-06-01 2019-07-01,Altai Republic,,навальный отравление,RU,web
2019-06-01 2019-07-01,Altai Krai,,навальный отравление,RU,web
2019-06-01 2019-07-01,Amur Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Arkhangelsk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Astrakhan Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Republic of Bashkortostan,,навальный отравление,RU,web
2019-06-01 2019-07-01,Belgorod Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Bryansk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Buryatia,,навальный отравление,RU,web
2019-06-01 2019-07-01,Chechnya,,навальный отравление,RU,web
2019-06-01 2019-07-01,Chelyabinsk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Chukotka Autonomous Okrug,,навальный отравление,RU,web
2019-06-01 2019-07-01,Chuvashia Republic,,навальный отравление,RU,web
2019-06-01 2019-07-01,Dagestan Republic,,навальный отравление,RU,web
2019-06-01 2019-07-01,Ingushetia,,навальный отравление,RU,web
2019-06-01 2019-07-01,Irkutsk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Ivanovo Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kamchatka Krai,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kabardino-Balkaria,,навальный отравление,RU,web
2019-06-01 2019-07-01,Karachay-Cherkessia,,навальный отравление,RU,web
2019-06-01 2019-07-01,Krasnodar Krai,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kemerovo Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kaliningrad Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kurgan Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Khabarovsk Krai,,навальный отравление,RU,web
2019-06-01 2019-07-01,Khanty-Mansi Autonomous Okrug,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kirov Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Republic of Khakassia,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kalmykia,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kaluga Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Komi Republic,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kostroma Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Republic of Karelia,,навальный отравление,RU,web
2019-06-01 2019-07-01,Kursk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Krasnoyarsk Krai,,навальный отравление,RU,web
2019-06-01 2019-07-01,Leningrad Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Lipetsk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Magadan Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Mari El Republic,,навальный отравление,RU,web
2019-06-01 2019-07-01,Mordovia,,навальный отравление,RU,web
2019-06-01 2019-07-01,Moscow Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Moscow,,навальный отравление,RU,web
2019-06-01 2019-07-01,Murmansk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Nenets Autonomous Okrug,,навальный отравление,RU,web
2019-06-01 2019-07-01,Novgorod Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Nizhny Novgorod Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Novosibirsk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Omsk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Orenburg Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Oryol Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Perm Krai,,навальный отравление,RU,web
2019-06-01 2019-07-01,Penza Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Primorsky Krai,,навальный отравление,RU,web
2019-06-01 2019-07-01,Pskov Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Rostov Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Ryazan Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Sakha Republic,,навальный отравление,RU,web
2019-06-01 2019-07-01,Sakhalin Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Samara Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Saratov Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,North Ossetia–Alania,,навальный отравление,RU,web
2019-06-01 2019-07-01,Smolensk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Saint Petersburg,,навальный отравление,RU,web
2019-06-01 2019-07-01,Stavropol Krai,,навальный отравление,RU,web
2019-06-01 2019-07-01,Sverdlovsk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Tatarstan,,навальный отравление,RU,web
2019-06-01 2019-07-01,Tambov Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Tomsk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Tula Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Tver Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Tuva,,навальный отравление,RU,web
2019-06-01 2019-07-01,Tyumen Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Udmurt Republic,,навальный отравление,RU,web
2019-06-01 2019-07-01,Ulyanovsk Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Volgograd Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Vladimir Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Vologda Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Voronezh Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Yamalo-Nenets Autonomous Okrug,,навальный отравление,RU,web
2019-06-01 2019-07-01,Yaroslavl Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Jewish Autonomous Oblast,,навальный отравление,RU,web
2019-06-01 2019-07-01,Zabaykalsky Krai,,навальный отравление,RU,web
2019-07-01 2019-08-01,Kaliningrad Oblast,100,навальный отравление,RU,web
2019-07-01 2019-08-01,Perm Krai,75,навальный отравление,RU,web
2019-07-01 2019-08-01,Tatarstan,29,навальный отравление,RU,web
2019-07-01 2019-08-01,Sverdlovsk Oblast,26,навальный отравление,RU,web
2019-07-01 2019-08-01,Saint Petersburg,15,навальный отравление,RU,web
2019-07-01 2019-08-01,Adygea,,навальный отравление,RU,web
2019-07-01 2019-08-01,Altai Republic,,навальный отравление,RU,web
2019-07-01 2019-08-01,Altai Krai,,навальный отравление,RU,web
2019-07-01 2019-08-01,Amur Oblast,,навальный отравление,RU,web
2019-07-01 2019-08-01,Arkhangelsk Oblast,,навальный отравление,RU,web
2019-07-01 2019-08-01,Astrakhan Oblast,,навальный отравление,RU,web
2019-07-01 2019-08-01,Republic of Bashkortostan,,навальный отравление,RU,web
2019-07-01 2019-08-01,Belgorod Oblast,,навальный отравление,RU,web
2019-07-01 2019-08-01,Bryansk Oblast,,навальный отравление,RU,web
2019-07-01 2019-08-01,Buryatia,,навальный отравление,RU,web
2019-07-01 2019-08-01,Chechnya,,навальный отравление,RU,web
2019-07-01 2019-08-01,Chelyabinsk Oblast,,навальный отравление,RU,web
2019-07-01 2019-08-01,Chukotka Autonomous Okrug,,навальный отравление,RU,web
2019-07-01 2019-08-01,Chuvashia Republic,,навальный отравление,RU,web
2019-07-01 2019-08-01,Dagestan Republic,,навальный отравление,RU,web
2019-07-01 2019-08-01,Ingushetia,,навальный отравление,RU,web
2019-07-01 2019-08-01,Irkutsk Oblast,,навальный отравление,RU,web
2019-07-01 2019-08-01,Ivanovo Oblast,,навальный отравление,RU,web
2019-07-01 2019-08-01,Kamchatka Krai,,навальный отравление,RU,web
2019-07-01 2019-08-01,Kabardino-Balkaria,,навальный отравление,RU,web
2019-07-01 2019-08-01,Karachay-Cherkessia,,навальный отравление,RU,web
2019-07-01 2019-08-01,Krasnodar Krai,,навальный отравление,RU,web
